type;Variables;unit;Agents/Sectors;2010;2016;2018;REF;LabTax/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest30_MarginAdapt0;LabTax/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest30_MarginAdapt1;LabTax/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest30_MarginAdapt2;LabTax/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest30_MarginAdapt3;LabTax/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest0_MarginAdapt0;LabTax/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest0_MarginAdapt1;LabTax/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest0_MarginAdapt2;LabTax/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest0_MarginAdapt3;LumpSumHH/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest30_MarginAdapt0;LumpSumHH/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest30_MarginAdapt1;LumpSumHH/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest30_MarginAdapt2;LumpSumHH/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest30_MarginAdapt3;LumpSumHH/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest0_MarginAdapt0;LumpSumHH/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest0_MarginAdapt1;LumpSumHH/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest0_MarginAdapt2;LumpSumHH/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest0_MarginAdapt3
-;X;X;-;1;1.1002163;1.028437;1;1.0047482;0.9834329;0.9997082;1.0033911;1.0067768;1.0067768;0.9999066;1.0051083;0.9848233;0.9641814;0.9998252;0.9868211;0.9865993;0.9865993;1.0000231;0.9883371
real;GFCF;G€;1.  Corporations;200.1;272.9;294.9;299.5;327.5;330;328.7;327.7;298;298;299.4;298.2;327.7;330.2;326.6;327.5;298.2;298.2;297.3;298
real;GFCF;G€;2.  Government;64.3;76.1;81.1;82.4;82.4;82.4;82.4;82.4;82.4;82.4;82.4;82.4;82.4;82.4;82.4;82.4;82.4;82.4;82.4;82.4
real;GFCF;G€;3.  Households;112.3;116.4;126.9;128.8;130.8;128.3;129.6;130.6;130.3;130.3;128.9;130.1;130.6;128.1;131.7;130.8;130.1;130.1;131;130.2
real;GFCF;G€;4.  Domestic;376.7;465.3;502.9;510.6;540.6;540.6;540.6;540.6;510.6;510.6;510.6;510.6;540.6;540.6;540.6;540.6;510.6;510.6;510.6;510.6
nominal;GFCF;G€;1.  Corporations;200.1;286.2;299.5;299.5;324.3;333;328.8;325;294.6;294.6;299.4;295.4;330.1;338.9;326.6;329.4;300;300;297.3;299.4
nominal;GFCF;G€;2.  Government;64.3;79.8;82.4;82.4;81.6;83.1;82.4;81.7;81.4;81.4;82.4;81.6;83;84.5;82.4;82.9;82.9;82.9;82.4;82.8
nominal;GFCF;G€;3.  Households;112.3;122;128.8;128.8;129.5;129.5;129.6;129.5;128.8;128.8;128.9;128.8;131.6;131.5;131.7;131.6;130.9;130.9;131;130.9
nominal;Disposable income;G€;1.  Corporations;210.6;274.3;287.4;287.4;287.4;307.5;295.7;288.9;283.7;283.7;293.3;285.5;290.3;310.5;281.7;288.7;286.6;286.6;279.4;285.3
nominal;Disposable income;G€;2.  Government;448.6;564.8;582.9;582.9;604;597.7;602.2;603.5;584.1;584.1;581.7;583.6;604.4;598.3;608.9;605;584.3;584.3;588.3;584.8
nominal;Disposable income;G€;3.  Households;1293.4;1395.6;1473.1;1473.1;1481.2;1480.8;1482;1481.2;1473.2;1473.2;1473.9;1473.2;1504.7;1504.1;1506;1504.8;1496.5;1496.5;1497.8;1496.6
nominal;Disposable income;G€;4.  Rest of the World;37.1;30.9;39.5;39.5;37.1;46.1;41;37.9;30.2;30.2;34.8;31.1;49.9;58.8;45;49.1;42.9;42.9;38.8;42.3
nominal;Net Lending;G€;1.  Corporations;10.5;-11.9;-12;-12;-36.9;-25.5;-33;-36.1;-10.9;-10.9;-6.1;-9.9;-39.8;-28.4;-45;-40.7;-13.4;-13.4;-17.9;-14.2
nominal;Net Lending;G€;2.  Government;-137.4;-91.4;-103.8;-103.8;-77;-97.3;-84.8;-78.5;-95.7;-95.7;-105.1;-97.5;-88;-108.3;-78;-86.4;-107.1;-107.1;-98.4;-105.7
nominal;Net Lending;G€;3.  Households;89.7;72.3;76.3;76.3;76.8;76.7;76.8;76.8;76.3;76.3;76.4;76.3;78;77.9;78;78;77.5;77.5;77.6;77.6
nominal;Net Lending;G€;4.  Rest of the World;37.1;30.9;39.5;39.5;37.1;46.1;41;37.9;30.2;30.2;34.8;31.1;49.9;58.8;45;49.1;42.9;42.9;38.8;42.3
