;Coal;CrudeOil;NaturalGaz;OthFossFuel;OthBiofuel;Diesel;Biodiesel;Gasoline;Ethanol;Electricity;PlantedForest;SugarCane;Soy;RestAgri;Cattle;RestLivestoock;Cement;IronSteel;MiningPellet;NonFerrousMetals;Chemical;BovineMeat;RestFoodBeve;Textiles;PaperPulp;Ceramics;Construction;OthIndustry;FreightRoad;FreightRail;FreightAir;FreightWater;PassRoad;PassRail;PassAir;PassWater;WaterSewage;Education;Health;Composite;C;G;I;X;Tot_uses;Y;M
FreightAir;5706.086029;5706.086029;5706.086029;5706.086029;5706.086029;5706.086029;5706.086029;5706.086029;5706.086029;5706.086029;5706.086029;5706.086029;5706.086029;5706.086029;5706.086029;5706.086029;5706.086029;5706.086029;5706.086029;5706.086029;5706.086029;5706.086029;5706.086029;5706.086029;5706.086029;5706.086029;5706.086029;5706.086029;5706.086029;5706.086029;5706.086029;5706.086029;5706.086029;5706.086029;5706.086029;5706.086029;5706.086029;5706.086029;5706.086029;5706.086029;6028.664027;6028.664027;6028.664027;5706.086029;5706.086029;5706.086029;5706.086029
FreightWater;201.5048397;201.5048397;201.5048397;201.5048397;201.5048397;201.5048397;201.5048397;201.5048397;201.5048397;207.3527066;201.5048397;207.3527066;207.3527066;201.5048397;201.5048397;201.5048397;201.5048397;201.5048397;201.5048397;201.5048397;201.5048397;201.5048397;201.5048397;201.5048397;201.5048397;201.5048397;201.5048397;201.5048397;201.5048397;201.5048397;207.3527066;201.5048397;201.5048397;201.5048397;207.3527066;201.5048397;207.3527066;207.3527066;207.3527066;201.5048397;207.3527066;207.3527066;207.3527066;201.5048397;201.5048397;201.5048397;201.5048397
PassRoad;127.314716;127.314716;127.314716;127.314716;127.314716;127.3421255;127.314716;127.3421255;127.314716;127.314716;127.314716;127.314716;127.314716;127.314716;127.314716;127.314716;127.314716;127.314716;127.314716;127.314716;127.314716;127.314716;127.314716;127.314716;127.314716;127.314716;127.314716;127.314716;127.314716;127.314716;127.314716;127.314716;127.314716;127.314716;127.314716;127.314716;127.314716;127.314716;127.314716;127.314716;127.314716;127.3421255;127.3421255;127.314716;127.314716;127.314716;127.314716
PassRail;104.7608003;104.7608003;104.7608003;104.7608003;104.7608003;104.7941521;104.7608003;104.7941521;104.7608003;104.7608003;104.7608003;104.7608003;104.7608003;104.7608003;104.7608003;104.7608003;104.7608003;104.7608003;104.7608003;104.7608003;104.7608003;104.7608003;104.7608003;104.7608003;104.7608003;104.7608003;104.7608003;104.7608003;104.7608003;104.7608003;104.7608003;104.7608003;104.7608003;104.7608003;104.7608003;104.7608003;104.7608003;104.7608003;104.7608003;104.7608003;104.7608003;104.7941521;104.7941521;104.7608003;104.7608003;104.7608003;104.7608003
PassAir;246.8960062;246.8960062;246.8960062;246.8960062;246.8960062;246.8960062;246.8960062;246.8960062;246.8960062;246.8960062;246.8960062;246.8960062;246.8960062;246.8960062;246.8960062;246.8960062;246.8960062;246.8960062;246.8960062;246.8960062;246.8960062;246.8960062;246.8960062;246.8960062;246.8960062;246.8960062;246.8960062;246.8960062;246.8960062;246.8960062;246.8960062;246.8960062;246.8960062;246.8960062;246.8960062;246.8960062;246.8960062;246.8960062;246.8960062;246.8960062;246.8960062;246.8960062;246.8960062;237.5163325;246.8960062;246.8960062;246.8960062
PassWater;1296.275027;1296.275027;1296.275027;1296.275027;1296.275027;1296.275027;1296.275027;1296.275027;1296.275027;1296.275027;1296.275027;1296.275027;1296.275027;1296.275027;1296.275027;1296.275027;1296.275027;1296.275027;1296.275027;1296.275027;1296.275027;1296.275027;1296.275027;1296.275027;1296.275027;1296.275027;1296.275027;1296.275027;1296.275027;1296.275027;1296.275027;1296.275027;1296.275027;1296.275027;1296.275027;1296.275027;1296.275027;1296.275027;1296.275027;1296.275027;1296.275027;1296.275027;1296.275027;1168.486501;1296.275027;1296.275027;1296.275027
WaterSewage;1093.508719;1093.508719;1093.508719;1093.508719;1093.508719;1093.508719;1093.508719;1093.508719;1093.508719;1093.508719;1093.508719;1093.508719;1093.508719;1093.508719;1093.508719;1093.508719;1093.508719;1093.508719;1093.508719;1093.508719;1093.508719;1093.508719;1093.508719;1093.508719;1093.508719;1093.508719;1093.508719;1093.508719;1093.508719;1093.508719;1093.508719;1093.508719;1093.508719;1093.508719;1093.508719;1093.508719;1093.508719;1093.508719;1093.508719;1093.508719;1093.508719;1093.508719;1093.508719;1046.799692;1093.505988;1000;1000
Education;1005.008625;1005.008625;1005.008625;1005.008625;1005.008625;1005.008625;1005.008625;1005.008625;1005.008625;1005.008625;1005.008625;1005.008625;1005.008625;1005.008625;1005.008625;1005.008625;1005.008625;1005.008625;1005.008625;1005.008625;1005.008625;1005.008625;1005.008625;1005.008625;1005.008625;1005.008625;1005.008625;1005.008625;1005.008625;1005.008625;1005.008625;1005.008625;1005.008625;1005.008625;1005.008625;1005.008625;1005.008625;1005.008625;1005.008625;1005.008625;1005.008625;1005.008625;1005.008625;1000;1005.007657;1000;1000
Health;1014.889521;1014.889521;1014.889521;1014.889521;1014.889521;1014.889521;1014.889521;1014.889521;1014.889521;1014.889521;1014.889521;1014.889521;1014.889521;1014.889521;1014.889521;1014.889521;1014.889521;1014.889521;1014.889521;1014.889521;1014.889521;1014.889521;1014.889521;1014.889521;1014.889521;1014.889521;1014.889521;1014.889521;1014.889521;1014.889521;1014.889521;1014.889521;1014.889521;1014.889521;1014.889521;1014.889521;1014.889521;1014.889521;1014.889521;1014.889521;1014.889521;1014.889521;1014.889521;1000;1014.88109;1000;1000
Composite;876.5656038;876.5656038;876.5656038;876.5656038;876.5656038;876.5656038;876.5656038;876.5656038;876.5656038;876.5656038;876.5656038;876.5656038;876.5656038;876.5656038;876.5656038;876.5656038;876.5656038;876.5656038;876.5656038;876.5656038;876.5656038;876.5656038;876.5656038;876.5656038;876.5656038;876.5656038;876.5656038;876.5656038;876.5656038;876.5656038;876.5656038;876.5656038;876.5656038;876.5656038;876.5656038;876.5656038;876.5656038;876.5656038;876.5656038;876.5656038;876.5656038;876.5656038;876.5656038;818.7719707;875.3242051;1000;1000
real_per_tep_real_per_tons;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
