"Household Identifier (French metropolitain households only)
Source : table ""households"" in BDF, INSEE";"INSEE Statistical ponderation (for making the sample representative for the total French metropolitan population)
Source : table ""households"" in BDF, INSEE";"Expenditures (COICOP)
Food and non alcoholic beverages
Source : table ""Expenditures"", BDF, INSEE";"Expenditures (COICOP)
Acoholic beverages, tabocco and narcotics";"Expenditures (COICOP)
Clothing and footware";"Expenditures (COICOP)
Housing, electricity, gas and other combustibles";"Expenditures (COICOP)
Furnitures, housekeeping and home maintenance";"Expenditures (COICOP)
Health";"Expenditures (COICOP)
Transports";"Expenditures (COICOP)
Communications";"Expenditures (COICOP)
Leisure and culture";"Expenditures (COICOP)
Education";"Expenditures (COICOP)
Hotels and restaurants";"Expenditures (COICOP)
Miscellaneous goods and services";"Expenditures (COICOP)
Taxes, loan payments, large works, savings, and employer's fees";"Expenditures (COICOP)
Housing allocations received (APL)";"Total final consumption expenditures 
Include items C1 to C12 ";;"Total current income divided by the number of consumption units according to the OECD equilence scale
(standard of leaving definition)
Computed ";"Standard of leaving decile
(computed using revtotuc)";"Total number of people
Source : Table ""Households"" from BDF, INSEE";"Number of pensioners
Source : table ""individuals"" in BDF, INSEE
Computed
Sum of household's individuals with modality 5 (retired or ""pre-retired"") for variable SITUA (labour market status).";"Number of unemployed
Source : table ""individuals"" in BDF, INSEE
Computed
Sum of household's individuals with modality 4 (unemployed people registered or non to the French employment office) for variable SITUA (labour market status).";"Number of employed
Source : table ""individuals"" in BDF, INSEE
Computed
Sum of household's individuals with modality 1 (employed) and 2 (pais apprentice/trainee) for variable SITUA (labour market status).";"Number of consumption units (OECD equivalent scale : 1 for the first adult, 0.5 for each person older than 14, 0.3 for each person younger than 14)
Source : Table ""Households"" from BDF, INSEE";"Net wages
Source : Table ""Households"" from BDF, INSEE";"Incomes of self-employed persons
Source : Table ""Households"" from BDF, INSEE";"Unemployment benefits
Source : Table ""Households"" from BDF, INSEE";"Pension benefits
Source : Table ""Households"" from BDF, INSEE";"Social benefits
Source : Table ""Households"",  BDF, INSEE";"Other social benefits 
Computed : Social Benefits (revsoc) minus Pension Benefits (retraites) minus Unemployment Benefits (chomage)
Source (revsoc, retraites, chomage): Table ""Households"",  BDF, INSEE";"Property income
Source : Table ""Households"" from BDF, INSEE";;;;;;;;;;;;;;
9356;2124,970051;10769;3608;1402;998;3066;252;1351;1644;2150;0;1246;5575;180;4560;32061;0;11817;2;4;0;0;1;2,1;720;0;6810;0;24080;17270;15;15;0;0;0;0;0;0;0;0;0;0;0;0;0
9357;3696,06622;6177;0;2090;31600;4160;210;38050;2744;8721;0;17263;22160;270;0;133175;0;13765;3;4;0;0;2;2,1;7060;3680;0;0;2710;2710;1057;1057;0;0;0;0;0;0;0;0;0;0;0;0;0
9358;2443,970234;1273;0;54;3771;2340;126;17040;538;2667;0;3240;3197;14879;0;34246;6852;21140;6;2;2;0;0;1,5;0;0;0;27750;27750;0;3960;47;64;68;0;358;0;0;3423;0;0;0;0;0;0
9359;2002,289922;9130;3740;1056;1900;0;2062;7796;936;4043;0;2128;1615;19888;0;34406;14856;23061;7;5;0;0;2;2,8;59780;0;0;0;4650;4650;141;141;0;0;0;0;0;0;0;0;0;0;0;0;0
9360;2590,881186;4810;127;4267;2841;3924;1194;3343;7211;1177;96;3383;3306;23197;0;35679;8496;16621;4;4;0;1;1;2,1;22480;7870;0;0;1520;1520;2434;34;0;0;0;0;0;0;2400;0;0;0;0;0;0
9362;3179,029638;4044;0;351;8746;200;0;2066;1233;280;0;70;1331;1186;0;18321;0;25264;8;3;0;0;2;2;50120;0;0;0;0;0;408;55;0;353;0;0;0;0;0;0;0;0;0;0;0
9363;2546,174127;4876;0;2201;2050;776;233;3140;1319;6751;0;1000;3644;30657;0;25990;16044;53825;10;2;0;0;2;1,5;78380;0;0;0;0;0;2358;131;0;0;142;2085;0;0;0;0;0;0;0;0;0
9364;4637,39794;0;874;0;1248;2215;0;0;937;3043;0;0;2109;7235;0;10426;5268;16660;4;1;0;0;1;1;16660;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9366;977,3071858;7226;0;2847;1895;11450;6;31240;880;3094;0;3928;5375;26341;0;67941;9216;48163;10;2;0;0;2;1,5;71810;0;0;0;0;0;435;177;0;258;0;0;0;0;0;0;0;0;0;0;0
9367;1042,083938;7159;0;360;1477;624;0;10360;840;545;310;1928;3955;-138;0;27558;5148;9504;1;4;0;0;2;2,5;23760;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9368;3151,415689;5821;882;840;5019;485;12;200;165;481;0;0;4209;8177;0;18114;10104;48117;10;2;0;0;1;1,5;0;70810;0;0;0;0;1365;0;0;718;647;0;0;0;0;0;0;0;0;0;0
9371;4431,404261;1104;2166;1555;4010;10385;30;1644;659;821;0;0;1753;119;600;24127;0;15163;4;1;0;0;1;1;8690;0;1280;0;1880;600;33;30;0;0;3;0;0;0;0;0;0;0;0;0;0
9372;3307,184834;6801;0;1882;2307;443;312;3897;776;5160;0;177;1795;9711;0;23550;10140;40500;10;1;0;0;1;1;38880;0;0;0;0;0;1620;334;0;1168;34;84;0;0;0;0;0;0;0;610;0
9373;1816,020968;5299;6495;437;6795;1197;234;776;1154;2989;0;1468;2816;2050;0;29660;0;14773;3;2;0;1;1;1,5;19620;0;2540;0;2540;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9374;1675,041157;2529;1245;1034;1620;1762;291;0;461;1462;0;0;1148;12910;0;11552;3972;9930;2;1;0;0;0;1;0;0;0;9760;9760;0;170;126;0;44;0;0;0;0;0;0;0;0;0;0;0
9375;3177,848149;4980;991;2878;8049;868;1685;1243;1217;4303;0;637;2593;8781;0;29444;0;27982;8;2;0;0;2;1,5;29280;0;12280;0;12280;0;13;13;0;0;0;0;0;0;0;0;0;0;0;0;0
9376;2218,875532;5975;0;396;2365;0;1704;14794;691;3001;4500;5262;5669;6421;0;44357;11808;27293;8;4;0;0;2;2,5;61410;0;0;0;490;490;6333;643;0;2023;147;0;520;0;0;3000;0;0;0;0;0
9377;3044,199709;2745;0;0;1464;4655;360;23963;468;3498;0;2268;8802;15184;0;48223;16668;35317;9;3;0;0;2;1,8;63300;0;0;0;0;0;270;270;0;0;0;0;0;0;0;0;0;0;0;0;0
9378;1425,045533;6740;197;2106;2250;1262;471;3273;892;3844;400;612;3610;5675;0;25657;4236;14286;3;4;0;0;2;2,5;35590;0;0;0;0;0;125;90;0;35;0;0;0;0;0;0;0;0;0;0;0
9379;1965,501672;9294;0;251;2993;2388;0;10542;397;3030;0;2558;3880;3642;0;35333;3768;21197;6;2;1;0;0;1,5;0;0;0;29040;29040;0;2756;222;0;0;0;2534;0;0;0;0;0;0;0;0;0
9380;1630,651443;3803;409;4097;2136;1940;195;5444;1378;4751;0;2097;4683;6853;0;30933;5328;35293;9;3;0;0;3;2;69280;0;0;0;0;0;1305;317;0;599;0;389;0;0;0;0;0;0;0;0;0
9382;3248,169443;100;1518;382;11712;2049;303;3694;540;3341;0;4528;4236;3592;0;32403;0;24833;8;2;0;0;2;1,5;25210;0;0;0;0;0;40;40;0;0;0;0;0;0;0;0;0;0;0;0;0
9383;2240,571038;4934;0;14;1624;800;18;4145;1444;1742;0;1354;6041;2320;0;22116;7956;18622;5;2;2;0;0;1,5;0;0;0;26270;26270;0;1663;20;0;0;0;1643;0;0;0;0;0;0;0;0;0
9384;1498,057883;3189;0;809;1989;3891;0;11674;1018;1695;0;200;3559;14990;0;28024;5376;33147;9;2;1;0;1;1,5;38100;0;0;11620;11620;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9385;2913,485777;4449;0;625;2360;0;6;730;859;2198;0;752;2436;9185;0;14415;7920;17670;5;4;0;0;2;2,1;12690;20240;0;0;1800;1800;2376;45;0;2326;5;0;0;0;0;0;0;0;0;0;0
9387;2243,842609;3521;0;869;156;880;87;12440;374;1762;130;664;5631;8524;0;26514;4332;11184;2;4;1;1;0;2,5;6770;0;1430;12550;18960;4980;69;19;0;50;0;0;0;0;0;0;0;0;0;0;0
9388;1457,242789;1529;0;1795;1884;0;6;900;210;580;0;0;2045;4860;0;8949;3864;18577;5;1;1;0;0;1;0;0;0;17370;17370;0;1207;83;0;0;0;604;0;0;0;520;0;0;0;0;0
9389;2260,76909;2600;930;3053;1382;2851;2626;2321;348;7882;0;3410;6862;8136;0;34265;7512;22200;7;2;0;0;1;1,5;29110;0;0;0;0;0;4190;797;0;0;1392;2001;0;0;0;0;0;0;0;0;0
9390;1881,806232;4502;3578;4622;2838;634;687;18444;1200;1419;0;850;4076;13026;0;42850;9132;17146;5;4;0;0;2;2,1;32410;0;1720;0;3530;1810;67;67;0;0;0;0;0;0;0;0;0;0;0;0;0
9391;3026,925984;1137;0;1518;5397;280;0;1460;863;1624;0;4361;1207;466;0;17847;0;14974;4;1;0;0;1;1;14900;0;0;0;0;0;74;74;0;0;0;0;0;0;0;0;0;0;0;0;0
9392;1591,942331;1325;0;0;3837;364;1508;0;1404;1923;0;0;1230;3086;0;11591;3696;18993;5;2;2;0;0;1,5;0;0;0;28190;28190;0;299;299;0;0;0;0;0;0;0;0;0;0;0;0;0
9393;2877,274815;7187;5642;618;5290;1462;24;4135;1636;2374;0;2685;4884;5488;0;35937;0;16735;4;2;0;0;1;1,5;22790;0;0;0;1380;1380;932;0;0;0;0;932;0;0;0;0;0;0;0;0;0
9395;1810,995395;0;0;0;2340;0;6;430;306;484;0;0;1279;114;0;4845;4344;7964;1;1;1;0;0;1;0;0;0;6910;7930;1020;34;34;0;0;0;0;0;0;0;0;0;0;0;0;0
9396;3112,707986;2957;145;0;4991;80;0;3250;599;2710;0;150;1069;7139;0;15951;0;24269;7;1;0;0;1;1;24030;0;0;0;0;0;239;239;0;0;0;0;0;0;0;0;0;0;0;0;0
9399;1730,561831;4830;286;154;1649;1540;108;200;239;1320;0;0;3797;445;0;14123;6360;12260;2;2;2;0;0;1,5;0;0;0;15640;15640;0;2750;0;0;0;0;0;0;0;2750;0;0;0;0;0;0
9400;1220,476377;2053;0;881;8785;1080;233;1029;304;604;0;2316;5805;13794;0;23090;0;45801;10;2;0;0;2;1,5;14870;52240;0;0;0;0;592;172;0;17;0;403;0;0;0;0;0;0;0;0;0
9403;2933,18497;2956;0;0;2908;800;656;645;290;13058;0;1735;6354;17753;0;29402;5604;39517;10;1;1;0;0;1;0;0;0;34250;34250;0;5267;350;0;0;28;889;0;0;4000;0;0;0;0;0;0
9405;1214,208049;584;2969;0;1580;0;12;0;671;276;0;0;948;569;0;7040;3588;6300;1;1;1;0;0;1;0;0;0;6300;6300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9407;3753,941333;1030;0;0;2886;0;12;0;401;1803;0;0;2565;3169;0;8697;2724;19433;6;1;1;0;0;1;0;0;0;19400;19400;0;33;29;0;0;4;0;0;0;0;0;0;0;0;0;0
9408;1909,853329;7006;4290;422;1241;1500;108;22185;617;2351;0;0;5363;5245;0;45083;6300;16995;5;2;1;0;1;1,5;7690;0;0;17420;17420;0;342;342;0;0;0;0;0;0;0;0;0;0;0;0;0
9410;3851,922307;621;0;251;1593;120;179;0;126;179;0;0;857;0;2928;3926;0;12062;2;1;0;0;0;1;0;0;0;0;11498;11498;564;564;0;0;0;0;0;0;0;0;0;0;0;0;0
9411;3431,311116;10956;0;36;5807;2195;732;0;360;141;0;0;3148;856;0;23375;0;14407;3;2;1;1;0;1,5;1620;0;0;19990;19990;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9413;3774,932172;0;0;314;2387;360;414;1920;850;649;0;585;1992;8751;1068;9471;6192;15480;4;5;0;0;2;2,4;30010;0;0;0;7028;7028;114;114;0;0;0;0;0;0;0;0;0;0;0;0;0
9414;1964,523921;0;0;2163;9268;219;120;0;1798;470;0;269;2844;328;840;17151;0;14592;3;4;0;0;2;2,1;25970;0;0;0;4480;4480;193;78;0;96;19;0;0;0;0;0;0;0;0;0;0
9415;1664,96609;6170;415;11871;1967;1588;366;3134;1880;6187;0;1750;6183;12750;0;41511;6228;16752;4;5;0;0;1;2,6;40950;0;0;0;0;0;564;374;0;190;0;0;0;0;0;0;0;0;0;0;0
9419;3048,802389;4181;950;618;850;585;574;1240;1615;1831;0;0;4021;20258;0;16465;5940;37141;9;2;0;0;2;1,5;20230;35330;0;0;0;0;151;151;0;0;0;0;0;0;0;0;0;0;0;0;0
9423;2432,660997;260;0;635;1479;45;180;4793;984;1497;0;348;1955;0;0;12176;3204;11334;2;2;0;0;1;1,3;9450;0;0;0;3450;3450;34;20;0;14;0;0;0;0;0;0;0;0;0;0;0
9424;3086,469708;1417;3921;727;6305;1970;672;3525;772;539;0;260;2858;499;3432;22966;0;9530;1;5;0;0;1;2,4;9330;3900;0;0;9642;9642;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9425;1218,079134;4988;103;761;2260;375;312;570;657;1007;0;1737;3820;4507;0;16590;5340;22912;7;2;2;0;0;1,5;0;0;0;34140;34140;0;228;24;0;0;0;204;0;0;0;0;0;0;0;0;0
9426;3731,925342;1044;0;3373;7072;720;0;2400;447;582;0;250;1340;1507;0;17228;0;21317;6;1;0;0;1;1;21310;0;0;0;0;0;7;7;0;0;0;0;0;0;0;0;0;0;0;0;0
9431;2813,732212;1384;0;0;4280;0;0;0;288;190;0;0;255;0;3540;6397;0;8550;1;1;0;1;0;1;0;0;0;0;8550;8550;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9433;2885,099708;2150;832;2337;1394;1104;61;6654;1368;4142;0;670;2989;12846;0;23701;9516;23666;7;3;0;0;2;1,8;42550;0;0;0;0;0;8;8;0;0;0;0;0;0;0;0;0;0;0;0;0
9434;4404,77242;492;0;2183;4423;1126;310;50;987;712;0;504;2042;381;4044;12829;0;16619;4;2;0;0;1;1,3;14120;0;0;0;4324;4324;41;41;0;0;0;0;0;0;0;0;0;0;0;0;0
9436;7311,642299;1124;0;60;1575;430;1455;0;146;246;0;0;1570;171;0;6606;4344;15624;4;1;1;0;0;1;0;0;0;15230;15230;0;394;61;0;0;0;333;0;0;0;0;0;0;0;0;0
9437;4584,898941;1466;325;846;1767;649;897;1895;755;4466;0;983;1205;0;1932;15254;0;7904;1;1;0;0;1;1;1750;0;0;0;6142;6142;12;12;0;0;0;0;0;0;0;0;0;0;0;0;0
9439;2400,467393;10055;4092;241;2667;3882;464;2934;506;2305;0;390;4363;4358;0;31899;5388;21508;6;2;1;0;0;1,5;13820;0;0;16990;16990;0;1452;739;0;18;0;695;0;0;0;0;0;0;0;0;0
9440;3399,516479;2480;0;1130;7652;2240;132;0;756;3096;0;832;787;10076;0;19105;0;19440;6;1;1;0;0;1;0;0;0;19440;19440;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9441;1905,365972;8488;0;1254;2571;5018;1370;1480;1124;8407;0;1260;5185;10854;0;36157;5724;35045;9;2;0;1;0;1,5;7530;0;20210;24360;44570;0;467;4;0;0;0;463;0;0;0;0;0;0;0;0;0
9442;3643,694834;3403;803;972;7102;562;96;0;630;1130;0;0;1975;900;0;16673;0;14980;4;1;1;0;0;1;0;0;0;14980;14980;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9443;4706,152628;1352;999;36;4230;159;199;0;526;676;0;753;883;986;924;9813;0;12198;2;1;1;0;0;1;0;0;0;11270;12194;924;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0
9444;1609,342736;3329;0;2388;2104;550;432;200;575;3745;0;0;2300;417;0;15623;2208;17397;5;2;0;0;2;1,5;25990;0;0;0;0;0;105;105;0;0;0;0;0;0;0;0;0;0;0;0;0
9445;2566,435674;1475;0;4214;2800;1491;2114;5320;359;4386;600;3618;7079;25810;0;33456;7164;40299;10;2;0;0;2;1,5;41130;0;0;0;0;0;19319;27;0;0;0;92;0;0;0;0;19200;0;0;0;0
9447;3153,739613;12744;475;5485;2760;4468;273;3255;1345;3883;0;7050;4862;18428;0;46600;8340;30132;9;4;0;0;2;2,1;61400;0;0;0;1490;1490;388;151;0;237;0;0;0;0;0;0;0;0;0;0;0
9450;1572,477081;4696;0;406;1669;727;865;2132;705;2398;0;450;3444;2902;0;17492;5280;19285;6;2;1;1;0;1,5;970;0;5910;21700;27610;0;347;67;0;0;0;280;0;0;0;0;0;0;0;0;0
9451;3303,389468;2285;0;1123;2250;1083;87;4422;360;1959;0;940;3812;4577;0;18321;15444;9114;1;1;0;0;0;1;0;0;0;0;8810;8810;304;304;0;0;0;0;0;0;0;0;0;0;0;0;0
9452;3523,058855;8584;2226;1433;1481;1156;354;3576;830;1939;0;1178;5052;4515;0;27809;4800;26200;8;3;0;0;3;2;51250;0;900;0;900;0;249;249;0;0;0;0;0;0;0;0;0;0;0;0;0
9453;2716,017483;0;0;319;7142;0;108;2479;840;121;0;0;1545;2849;0;12554;0;29153;9;1;0;0;1;1;28450;0;0;0;0;0;703;348;0;355;0;0;0;0;0;0;0;0;0;0;0
9457;2263,99749;7065;0;900;2169;1000;0;15340;756;1659;0;9672;4783;13472;0;43344;11904;41053;10;2;2;0;0;1,5;0;0;0;61580;61580;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9460;3865,906957;6685;0;2433;9287;3416;450;3832;952;7747;0;1990;2362;10443;0;39154;0;30963;9;2;0;1;1;1,5;37160;0;2660;0;2660;0;6624;407;0;0;0;217;0;0;6000;0;0;0;0;0;0
9463;2140,671712;3648;0;1085;3244;4565;718;12176;515;7114;0;390;9083;8201;0;42538;3012;24537;7;2;2;0;0;1,5;0;0;0;36270;36270;0;535;535;0;0;0;0;0;0;0;0;0;0;0;0;0
9464;1049,643002;14848;2600;3655;7588;3563;3994;5825;1601;5215;0;900;7854;19216;0;57643;4896;25862;8;3;0;0;3;2;40850;0;1840;8570;10410;0;464;139;0;0;0;325;0;0;0;0;0;0;0;1700;0
9466;1365,508626;4476;0;887;2008;2126;679;2752;2344;191;0;0;2787;2641;0;18250;6240;19123;6;1;1;0;0;1;0;0;0;18820;18820;0;303;303;0;0;0;0;0;0;0;0;0;0;0;0;0
9469;3228,611966;393;702;498;5682;450;0;3260;627;1292;0;916;957;4657;0;14777;0;17368;5;1;0;0;1;1;17300;0;0;0;0;0;68;1;0;16;0;51;0;0;0;0;0;0;0;0;0
9470;1920,182222;11877;0;791;967;1568;6;2740;370;141;0;1745;5003;1116;0;25208;3012;15267;4;3;0;0;2;2;30470;0;0;0;0;0;64;64;0;0;0;0;0;0;0;0;0;0;0;0;0
9471;1505,769466;2865;411;444;3003;565;0;1213;1308;2253;0;0;2345;4704;0;14407;5436;22009;7;2;0;1;1;1,5;5510;20280;6700;0;6700;0;523;181;0;166;0;176;0;0;0;0;0;0;0;0;0
9474;2514,082729;8046;818;1186;2071;1117;186;4682;717;2567;0;604;7309;22331;0;29303;4764;42119;10;2;2;0;0;1,5;0;0;0;49640;49640;0;13539;339;0;0;0;0;0;0;13200;0;0;0;0;0;0
9476;1293,073487;10280;0;2711;5103;159;240;1220;2002;1573;300;0;4018;7989;0;27606;4980;5472;1;2;1;0;0;1,5;0;0;0;8130;8130;0;78;38;0;40;0;0;0;0;0;0;0;0;0;0;0
9477;3350,649605;5865;2860;357;4860;1405;547;786;786;5754;0;1788;1224;6500;372;26232;0;13382;3;1;1;0;0;1;0;0;0;12650;13022;372;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26000
9478;1439,435758;2820;0;832;882;360;448;18056;952;3288;0;3828;4664;2692;0;36130;5232;18430;5;4;0;0;2;2,1;8910;26000;0;0;1520;1520;2272;479;0;524;112;1157;0;0;0;0;0;0;0;0;0
9479;2311,003364;3019;0;5100;1650;4550;296;140;917;1521;0;50;20671;135137;0;37914;8052;21721;7;3;0;0;2;1,8;32780;0;0;0;6080;6080;237;237;0;0;0;0;0;0;0;0;0;0;0;0;0
9480;2413,253142;2502;0;594;1576;0;637;260;140;6342;0;0;2028;14883;0;14079;3492;16650;4;2;2;0;0;1,5;0;0;0;24580;24580;0;395;395;0;0;0;0;0;0;0;0;0;0;0;0;0
9481;2770,783355;2144;0;1179;6012;1538;1808;1634;815;838;0;81;2078;1400;0;18127;0;17335;5;4;0;0;2;2,3;0;37740;0;0;2130;2130;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9482;4408,997698;2878;1936;967;11114;0;90;2540;620;2703;0;18197;1714;2172;0;42759;0;27511;8;1;0;0;1;1;27240;0;0;0;0;0;271;20;0;195;37;19;0;0;0;0;0;0;0;0;0
9483;1111,707465;3073;0;1721;1889;561;593;11396;753;4350;1263;1100;5338;5821;0;32037;2856;20762;6;4;0;0;2;2,1;41830;0;0;0;1520;1520;251;103;0;41;0;107;0;0;0;0;0;0;0;0;0
9484;2757,887112;23356;1446;2173;6804;2745;1362;3170;1199;1873;10960;4628;16236;6325;0;75952;15504;28251;8;3;0;0;2;2;51440;0;0;0;0;0;5061;700;0;61;0;0;0;0;4300;0;0;0;0;0;0
9485;2515,062053;2655;0;0;6018;567;554;140;756;416;0;60;1384;0;1584;12550;0;12370;2;1;1;0;0;1;0;0;0;10770;12354;1584;16;16;0;0;0;0;0;0;0;0;0;0;0;0;0
9487;2654,049577;8840;0;1475;3684;2577;453;3920;704;5721;0;1300;4112;6002;0;32786;4956;34191;9;2;2;0;0;1,5;0;0;0;49920;49920;0;1366;478;0;0;484;404;0;0;0;0;0;0;0;0;0
9488;1374,194146;15830;582;389;1801;0;239;5107;1399;1947;0;1158;5583;13969;0;34035;8304;20688;6;5;0;0;3;2,6;50780;0;0;0;1620;1620;1390;87;0;732;0;571;0;0;0;0;0;0;0;0;0
9489;2230,165544;3541;0;1409;2780;6128;28;420;797;386;0;1085;2922;0;3000;19496;0;17557;5;1;0;1;0;1;770;0;5020;0;16770;11750;17;17;0;0;0;0;0;0;0;0;0;0;0;0;0
9490;1264,392764;7275;2761;3491;11436;2191;558;3672;2587;1534;10000;1200;6111;14619;0;52816;0;23463;7;6;0;0;2;3,1;67700;0;0;0;4220;4220;815;135;0;680;0;0;0;0;0;0;0;0;0;0;0
9491;3231,942898;200;0;779;9434;4615;197;1060;1050;330;0;740;1520;1988;0;19925;0;16679;4;1;1;0;0;1;0;0;0;16550;16550;0;129;129;0;0;0;0;0;0;0;0;0;0;0;0;0
9492;5309,685254;1281;281;1187;5880;802;6;2641;752;1426;0;1730;1073;5412;0;17059;0;20464;6;1;0;0;1;1;20420;0;0;0;0;0;44;44;0;0;0;0;0;0;0;0;0;0;0;0;0
9494;1499,391333;23257;5459;9063;5700;9690;811;12828;5134;13753;0;28492;11863;30553;0;126050;11412;66687;10;3;0;0;3;2;130060;0;0;0;0;0;3314;356;32;1073;55;1798;0;0;0;0;0;0;0;0;0
9495;3454,562518;1348;0;870;1392;68;0;1560;480;0;0;1976;603;0;1668;8297;0;4888;1;1;0;0;0;1;0;0;0;3220;4888;1668;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9497;1246,942842;344;2082;340;2082;3410;864;8040;596;3813;0;8441;4388;16802;0;34400;6540;20375;6;5;0;0;2;2,4;41770;0;0;0;6900;6900;230;80;0;57;93;0;0;0;0;0;0;0;0;0;0
9500;1658,03872;5498;15;354;1924;274;0;280;209;2054;0;80;4603;18435;0;15291;5016;41395;10;2;2;0;0;1,5;0;0;6710;55140;61850;0;243;197;0;15;3;28;0;0;0;0;0;0;0;0;0
9501;1937,153577;6502;1110;2519;1922;2772;606;1249;1092;4618;0;3650;4213;12837;0;30253;6972;22035;7;2;0;1;1;1,5;20560;0;8570;0;8570;0;1922;352;0;1224;0;346;0;0;0;0;0;0;0;0;0
9502;1036,180029;13017;0;2460;4700;3609;37;24379;1867;9067;1800;5528;4804;22218;0;71268;3564;27379;8;3;1;0;2;2;37360;0;0;16780;16780;0;617;422;0;140;0;55;0;0;0;0;0;0;0;0;0
9504;1453,242053;4448;492;470;871;4042;0;4069;830;491;0;240;4657;4634;0;20610;3876;18664;5;1;1;0;0;1;0;0;0;17010;17010;0;1654;559;0;0;0;1095;0;0;0;0;0;0;0;0;0
9505;4419,102765;353;0;2595;1423;400;630;2134;1020;3573;0;804;2136;9847;0;15068;11436;28040;8;1;0;0;1;1;27510;0;0;0;0;0;530;448;0;82;0;0;0;0;0;0;0;0;0;0;0
9506;1235,809123;1526;0;930;3201;0;1114;1656;1154;3817;0;6092;2366;7207;0;21856;9852;15403;4;5;0;0;1;2,8;37930;0;0;0;5010;5010;187;187;0;0;0;0;0;0;0;0;0;0;0;0;0
9507;2176,053838;5249;0;4237;7375;1081;782;6525;1397;2635;0;15;4783;9162;0;34079;8808;26731;8;2;0;0;2;1,5;29050;0;0;0;0;0;71;37;0;0;0;34;0;0;0;0;0;0;0;0;0
9508;5070,817804;1115;0;1637;7432;2573;0;14161;882;2089;400;2022;3053;2796;0;35364;0;25672;8;3;0;0;2;2;42880;0;0;0;0;0;8463;2163;0;5443;75;782;0;0;0;0;0;0;0;0;0
9509;2861,544652;5112;517;2595;2789;1253;66;2223;930;2250;0;1284;1798;-10;3972;20817;0;14810;3;3;0;1;0;1,6;5880;0;6120;0;16482;10362;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0
9510;4391,242011;5447;0;2329;13030;1300;252;11664;977;1444;0;648;3973;3835;0;41064;0;18146;5;4;0;0;2;2,3;40160;0;0;0;1520;1520;55;55;0;0;0;0;0;0;0;0;0;0;0;0;0
9513;3966,623143;5104;0;525;11809;1875;1265;3309;888;14364;0;815;10624;4203;0;50578;0;48640;10;1;1;0;0;1;0;0;0;47660;47660;0;980;273;0;622;0;85;0;0;0;0;0;0;0;0;0
9514;2278,453384;9916;267;7293;1669;4157;541;1050;687;3219;0;1604;5446;29428;0;35849;9924;48961;10;3;0;1;1;1,8;88130;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9515;3443,258735;3579;70;1081;1274;2999;1428;1890;780;1792;0;4470;2765;2125;0;22128;7092;11404;2;3;0;0;2;1,8;19180;0;330;0;630;300;718;360;0;0;0;358;0;0;0;0;0;0;0;0;0
9516;3490,826211;3059;0;2234;600;0;0;12245;1610;158;0;1169;3473;2172;0;24548;11088;21631;6;2;0;0;2;1,5;32420;0;0;0;0;0;26;26;0;0;0;0;0;0;0;0;0;0;0;0;0
9517;4110,508834;4392;487;450;1820;2346;48;2995;406;5677;0;1980;1883;8543;0;22484;8100;73080;10;2;1;0;1;1,5;56930;0;0;52690;52690;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9519;3361,681431;4926;0;0;2766;2;42;3840;153;227;0;0;1504;200;0;13460;2664;9649;2;2;0;0;1;1,5;0;980;0;9210;13490;4280;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0
9520;2706,505183;2342;0;0;3037;1463;0;184;534;2932;0;0;4010;772;0;14502;3360;21157;6;2;1;0;0;1,5;0;0;0;21940;28740;6800;2996;7;0;1138;80;1771;0;0;0;0;0;0;0;6500;0
9522;1698,901678;5037;3011;1045;1879;555;660;780;228;6588;0;3130;2353;164562;0;25266;11604;43457;10;3;0;0;2;1,8;77820;0;0;0;0;0;402;402;0;0;0;0;0;0;0;0;0;0;0;0;0
9523;2306,788313;1184;1352;0;1010;0;0;210;589;744;0;0;1361;11421;0;6450;5748;24211;7;3;0;0;2;1,8;37930;0;0;0;5650;5650;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9525;2721,181368;2187;0;1200;8087;120;108;6500;689;1681;0;0;3317;0;2148;23889;0;13839;3;4;1;1;0;2,5;8770;0;23370;0;25828;2458;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
